Array Size, quick Sort Recursive, quick Sort Iterative
100,6e-06,3.3e-05
500,6.2e-05,0.001162
1000,0.000106,0.003559
2000,0.000227,0.015747
4000,0.000512,0.067066
8000,0.001034,0.251847
12000,0.002083,0.640243
16000,0.00248,0.826285
20000,0.003233,1.19343
30000,0.004928,2.35561
